Name,Critic_Score,Critic_Count,User_Score,User_Count
Mario Kart 8,88.0,82.0,9.1,1607.0
Need for Speed Underground,85.0,33.0,8.6,172.0
Just Dance,49.0,21.0,8.0,110.0
Battlefield 3 (2),85.0,38.0,7.5,1762.0
Tekken 3,96.0,15.0,9.1,371.0
The Legend of Zelda: Twilight Princess,95.0,73.0,9.0,1664.0
Crash Bandicoot 3: Warped,91.0,12.0,8.9,439.0
Super Smash Bros. Melee,92.0,38.0,9.1,573.0
Need for Speed Underground 2,82.0,39.0,8.6,132.0
Medal of Honor: Frontline,88.0,29.0,8.5,137.0
Just Dance 4,74.0,10.0,7.2,29.0
Gears of War 2,93.0,90.0,7.7,2746.0
Uncharted 3: Drakes Deception,92.0,97.0,8.3,3732.0
Call of Duty 4: Modern Warfare (2),94.0,44.0,8.4,994.0
Uncharted 2: Among Thieves,96.0,105.0,8.8,5226.0
Big Brain Academy,74.0,45.0,7.4,27.0
Red Dead Redemption,95.0,73.0,8.9,2475.0
FIFA 14,86.0,37.0,4.3,576.0
Donkey Kong Country Returns,87.0,77.0,8.6,368.0
Assassins Creed III,85.0,41.0,6.9,1314.0
Halo: Combat Evolved,97.0,68.0,8.6,1292.0
The Elder Scrolls V: Skyrim (2),92.0,16.0,6.4,2530.0
Pok\xc3\xa9mon Emerald Version,76.0,28.0,9.0,223.0
Kingdom Hearts,85.0,46.0,8.8,610.0
Red Dead Redemption (2),95.0,96.0,9.0,2327.0
Halo 3: ODST,83.0,94.0,7.1,1166.0
Super Mario Sunshine,92.0,61.0,8.6,444.0
World of Warcraft,93.0,57.0,7.3,2199.0
Driver,87.0,22.0,8.0,81.0
Gears of War 3,91.0,96.0,7.8,1510.0
Kinect Sports,73.0,51.0,7.4,95.0
Gears of War,94.0,88.0,8.3,2301.0
FIFA 15,82.0,47.0,5.7,993.0
Metal Gear Solid 2: Sons of Liberty,96.0,42.0,8.7,1035.0
Metal Gear Solid,94.0,20.0,9.4,934.0
Metal Gear Solid 4: Guns of the Patriots,94.0,82.0,8.7,3575.0
Final Fantasy XII,92.0,64.0,7.7,982.0
The Last of Us,95.0,98.0,9.1,8039.0
LittleBigPlanet,95.0,85.0,6.8,5319.0
Resident Evil 2,89.0,13.0,9.2,369.0
Call of Duty: Infinite Warfare,77.0,86.0,3.5,1208.0
Dragon Quest IX: Sentinels of the Starry Skies,87.0,65.0,8.8,202.0
Tekken 2,89.0,8.0,8.9,102.0
Grand Theft Auto V (4),97.0,14.0,7.9,774.0
Destiny,76.0,95.0,6.1,5389.0
LEGO Star Wars: The Complete Saga,80.0,17.0,8.9,62.0
Cooking Mama,67.0,35.0,7.2,21.0
Assassins Creed II,91.0,70.0,8.6,1212.0
Assassins Creed,81.0,77.0,7.7,1084.0
Forza Motorsport 3,92.0,90.0,8.0,516.0
Super Mario Advance,84.0,19.0,7.8,42.0
Batman: Arkham City,96.0,42.0,8.6,2174.0
Monster Hunter Freedom Unite,81.0,48.0,8.7,124.0
Mario Kart: Super Circuit,93.0,24.0,8.3,108.0
Crash Bandicoot: The Wrath of Cortex,66.0,22.0,7.1,161.0
Call of Duty: World at War (2),85.0,45.0,7.6,410.0
Tomodachi Life,71.0,52.0,7.6,156.0
Final Fantasy XIII,83.0,83.0,7.2,2506.0
Final Fantasy IX,94.0,22.0,8.9,792.0
Battlefield 1,89.0,33.0,8.4,896.0
New Super Mario Bros. U,84.0,70.0,8.1,734.0
Assassins Creed III (2),84.0,61.0,6.8,1204.0
Final Fantasy X-2,85.0,45.0,6.6,404.0
Call of Duty: Advanced Warfare (2),81.0,53.0,5.4,900.0
Assassins Creed II (2),90.0,82.0,8.8,1320.0
Tomb Raider II,85.0,13.0,,
Madden NFL 2004,94.0,29.0,8.5,140.0
Dragon Quest VIII: Journey of the Cursed King,89.0,63.0,8.8,249.0
Professor Layton and the Curious Village,85.0,72.0,8.6,149.0
FIFA Soccer 13 (2),90.0,48.0,6.1,404.0
Diablo III,88.0,86.0,4.0,9643.0
Medal of Honor: Rising Sun,68.0,30.0,7.6,100.0
Guitar Hero II,92.0,69.0,8.5,113.0
Fable III,80.0,88.0,6.5,608.0
Resident Evil 5,84.0,76.0,7.5,671.0
The Legend of Zelda: Phantom Hourglass,90.0,57.0,8.0,418.0
FIFA Soccer 11,89.0,51.0,8.0,233.0
Resident Evil,91.0,8.0,9.0,268.0
Grand Theft Auto: Vice City Stories,86.0,50.0,8.0,152.0
Tony Hawks Pro Skater,92.0,18.0,9.2,69.0
Guitar Hero III: Legends of Rock,82.0,24.0,8.2,47.0
Links Crossbow Training,68.0,34.0,7.1,47.0
Fallout 3,93.0,84.0,8.5,1658.0
Uncharted: Drakes Fortune,88.0,66.0,8.1,2332.0
Madden NFL 06,88.0,29.0,8.0,121.0
StarCraft II: Wings of Liberty,93.0,82.0,8.2,3057.0
Assassins Creed (2),81.0,40.0,7.3,777.0
God of War III,92.0,101.0,8.7,2647.0
Uncharted: The Nathan Drake Collection,86.0,78.0,8.1,1289.0
Crash Team Racing,88.0,20.0,9.0,239.0
LEGO Star Wars: The Complete Saga (2),80.0,9.0,5.4,46.0
Driver 2,62.0,14.0,7.7,93.0
Batman: Arkham City (2),94.0,87.0,8.7,1477.0
Tony Hawks Pro Skater 2,98.0,19.0,7.7,301.0
The Lord of the Rings: The Two Towers,82.0,32.0,8.2,78.0
Tomb Raider,91.0,13.0,8.6,149.0
Animal Crossing: City Folk,73.0,50.0,7.6,120.0
Luigis Mansion: Dark Moon,86.0,74.0,8.4,461.0
Halo 5: Guardians,84.0,101.0,6.4,2455.0
The Legend of Zelda: The Wind Waker,96.0,80.0,8.9,977.0
Guitar Hero III: Legends of Rock (2),86.0,36.0,8.4,87.0
Forza Motorsport 4,91.0,83.0,8.2,619.0
Splatoon,81.0,88.0,8.5,1189.0
Madden NFL 2005,91.0,30.0,7.9,78.0
Guitar Hero III: Legends of Rock (3),85.0,69.0,7.9,167.0
Madden NFL 07,84.0,29.0,8.2,39.0
Spider-Man: The Movie,76.0,25.0,7.9,42.0
Super Mario 3D World,93.0,83.0,9.0,1615.0
God of War,94.0,75.0,8.9,1007.0
Nintendo Land,77.0,61.0,7.9,473.0
Tony Hawks Pro Skater 3,97.0,34.0,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,86.0,19.0,8.9,33.0
The Elder Scrolls IV: Oblivion,94.0,90.0,8.7,1113.0
Call of Duty: Advanced Warfare (3),,,4.8,207.0
Fallout 4 (2),88.0,39.0,6.2,1759.0
Need for Speed: Most Wanted,82.0,36.0,9.1,138.0
Michael Jackson: The Experience,56.0,37.0,8.3,32.0
Resistance: Fall of Man,86.0,70.0,8.1,718.0
Kingdom Hearts II,87.0,64.0,9.0,778.0
Call of Duty: Advanced Warfare (4),,,4.9,221.0
FIFA 15 (2),,,4.5,110.0
Fable II,89.0,95.0,6.5,2427.0
Batman: Arkham Asylum,91.0,70.0,8.9,1130.0
Namco Museum,79.0,10.0,7.3,6.0
Metal Gear Solid 3: Snake Eater,91.0,68.0,9.3,968.0
FIFA 14 (2),84.0,41.0,4.2,436.0
Assassins Creed: Revelations,80.0,39.0,7.5,620.0
Daxter,85.0,59.0,8.7,109.0
FIFA Soccer 06,80.0,32.0,7.8,47.0
EyeToy Play,80.0,32.0,7.5,22.0
Assassins Creed: Revelations (2),80.0,77.0,7.2,570.0
Gran Turismo 5 Prologue,80.0,67.0,7.1,120.0
Street Fighter IV,94.0,61.0,7.3,331.0
Madden NFL 2003,95.0,25.0,7.7,65.0
The Witcher 3: Wild Hunt,92.0,79.0,9.2,10270.0
Half-Life,96.0,24.0,9.1,3179.0
Watch Dogs,80.0,80.0,6.3,3018.0
World of Warcraft: The Burning Crusade,91.0,46.0,7.9,789.0
Batman: Arkham Knight,87.0,89.0,7.6,2715.0
God of War II,93.0,70.0,8.9,718.0
Far Cry 4,85.0,83.0,7.7,1663.0
Fallout: New Vegas,84.0,81.0,8.1,775.0
World Soccer Winning Eleven 9,,,8.2,23.0
Carnival Games,56.0,27.0,6.0,44.0
Forza Motorsport 2,90.0,66.0,8.3,381.0
Tekken Tag Tournament,85.0,25.0,8.5,118.0
Tom Clancys The Division,80.0,64.0,7.0,2234.0
Assassins Creed: Unity,70.0,40.0,4.9,2069.0
Namco Museum: 50th Anniversary,61.0,21.0,,
Left 4 Dead 2,89.0,76.0,8.6,684.0
Fallout 3 (2),90.0,57.0,8.0,916.0
The Legend of Zelda: Skyward Sword,93.0,81.0,7.9,1972.0
Professor Layton and the Diabolical Box,84.0,65.0,8.8,73.0
The Elder Scrolls V: Skyrim (3),94.0,32.0,8.1,9142.0
Monster Hunter 4 Ultimate,86.0,80.0,8.7,348.0
EA Sports Active,81.0,27.0,8.7,39.0
NBA 2K16,87.0,51.0,6.7,369.0
Tony Hawks Underground,90.0,38.0,8.7,121.0
Tekken 5,88.0,62.0,8.7,233.0
MotorStorm,84.0,9.0,7.3,224.0
World Soccer Winning Eleven 8 International,91.0,26.0,9.1,38.0
Sports Champions,76.0,64.0,7.9,104.0
Call of Duty: Ghosts (3),78.0,49.0,3.7,1570.0
Flash Focus: Vision Training in Minutes a Day,59.0,22.0,4.0,4.0
Big Brain Academy: Wii Degree,68.0,33.0,6.9,39.0
LEGO Indiana Jones: The Original Adventures,77.0,60.0,7.5,65.0
The Sims: Unleashed,79.0,21.0,7.7,30.0
Harry Potter and the Sorcerers Stone,64.0,11.0,7.5,43.0
Assassins Creed IV: Black Flag,88.0,36.0,8.1,846.0
Super Paper Mario,85.0,56.0,7.9,423.0
Spyro: Year of the Dragon,91.0,15.0,8.8,210.0
FIFA Soccer 2005,81.0,27.0,7.6,56.0
Tony Hawks Pro Skater 4,94.0,27.0,8.5,129.0
MySims,67.0,15.0,6.9,14.0
Midnight Club 3: DUB Edition,74.0,34.0,8.4,31.0
SOCOM: U.S. Navy SEALs,82.0,42.0,7.9,83.0
Jak and Daxter: The Precursor Legacy,90.0,35.0,8.7,314.0
Pro Evolution Soccer 2008,82.0,10.0,7.9,38.0
Resident Evil 4,96.0,38.0,8.9,1025.0
FIFA Soccer 10,91.0,56.0,7.5,204.0
Guitar Hero: World Tour,86.0,18.0,7.6,71.0
Battlefield 4,85.0,18.0,6.9,1586.0
Star Wars: Battlefront,82.0,36.0,8.7,143.0
The Simpsons: Road Rage,64.0,23.0,7.7,32.0
Luigis Mansion,78.0,34.0,8.6,162.0
Just Dance 2014,,,6.2,10.0
Star Wars: Battlefront II,84.0,30.0,9.0,268.0
Cooking Mama 2: Dinner With Friends,70.0,39.0,8.0,9.0
Call of Duty: Infinite Warfare (2),78.0,18.0,3.2,315.0
Assassins Creed: Unity (2),72.0,59.0,4.1,1008.0
Grand Theft Auto: Liberty City Stories (2),78.0,49.0,7.8,112.0
The Getaway,72.0,49.0,6.8,89.0
James Bond 007: Agent Under Fire,72.0,27.0,7.9,48.0
FIFA Soccer 11 (2),88.0,66.0,7.5,155.0
Left 4 Dead,89.0,67.0,7.9,1309.0
Resident Evil 5 (2),83.0,91.0,7.5,526.0
Assassins Creed: Brotherhood,89.0,81.0,8.3,700.0
Battlefield 4 (2),80.0,14.0,5.8,580.0
FIFA Soccer 2004,84.0,20.0,6.4,76.0
Battlefield 4 (3),79.0,21.0,5.6,546.0
Batman: Arkham Asylum (2),92.0,78.0,8.7,1083.0
Battlefield: Bad Company 2,88.0,75.0,8.6,870.0
Gears of War: Ultimate Edition,82.0,74.0,7.5,570.0
Guitar Hero: On Tour,71.0,70.0,8.8,29.0
Clubhouse Games,83.0,30.0,8.4,28.0
Borderlands,84.0,83.0,8.2,717.0
Assassins Creed Syndicate,76.0,86.0,6.8,1341.0
Tekken 4,79.0,23.0,8.3,126.0
Battlefield 1 (2),87.0,38.0,8.1,470.0
Metal Gear Solid V: The Phantom Pain,93.0,86.0,8.2,3987.0
Grand Theft Auto 2,70.0,15.0,8.0,67.0
Spider-Man 2,80.0,50.0,8.9,109.0
LittleBigPlanet 2,91.0,86.0,8.4,660.0
LEGO Batman: The Videogame,76.0,49.0,7.9,75.0
FIFA Soccer 2003,88.0,15.0,6.7,35.0
Crash Bash,68.0,12.0,8.3,100.0
Destiny (2),75.0,11.0,5.5,1736.0
Final Fantasy XV,82.0,102.0,7.7,2659.0
Far Cry 3,90.0,32.0,8.5,1046.0
James Bond 007: Nightfire,77.0,20.0,8.5,66.0
Star Wars Episode III: Revenge of the Sith,60.0,34.0,7.2,82.0
The Legend of Zelda: Spirit Tracks,87.0,75.0,7.8,231.0
Max Payne,80.0,21.0,8.4,87.0
Halo: The Master Chief Collection,85.0,69.0,7.2,1272.0
Assassins Creed IV: Black Flag (2),86.0,35.0,7.9,706.0
The Lord of the Rings: The Return of the King,85.0,31.0,8.6,106.0
Super Mario Maker,88.0,85.0,8.7,698.0
Gran Turismo 6,81.0,81.0,7.7,762.0
True Crime: Streets of LA,77.0,39.0,8.0,94.0
Professor Layton and the Unwound Future,86.0,62.0,9.2,111.0
FIFA 16 (2),84.0,45.0,4.4,463.0
Madden NFL 16,83.0,37.0,5.9,180.0
Wii Music,63.0,43.0,4.6,116.0
FIFA 17 (2),84.0,51.0,5.4,210.0
The Sims 4,70.0,74.0,3.9,2075.0
God of War: Chains of Olympus,91.0,79.0,8.6,566.0
L.A. Noire,89.0,78.0,7.7,1017.0
Enter the Matrix,62.0,30.0,8.1,137.0
Crisis Core: Final Fantasy VII,83.0,67.0,8.0,465.0
Dance Central,82.0,63.0,7.6,85.0
Ace Combat 04: Shattered Skies,89.0,22.0,9.1,97.0
Animal Crossing: Happy Home Designer,66.0,60.0,6.8,107.0
Animal Crossing,87.0,42.0,8.9,138.0
FIFA Soccer 08,83.0,12.0,6.5,36.0
Mario Party 9,73.0,45.0,6.8,159.0
Club Penguin: Elite Penguin Force,,,8.0,37.0
Spider-Man,87.0,19.0,8.9,109.0
The Legend of Zelda: A Link Between Worlds,91.0,81.0,8.9,1070.0
Need for Speed III: Hot Pursuit,88.0,13.0,,
Sonic Rush,82.0,43.0,8.5,102.0
Fallout: New Vegas (2),82.0,57.0,7.8,496.0
Personal Trainer: Cooking,81.0,12.0,7.8,10.0
Rhythm Heaven,83.0,48.0,9.0,63.0
The Elder Scrolls IV: Oblivion (2),93.0,45.0,8.0,606.0
Resident Evil 6,74.0,34.0,5.4,1309.0
Mass Effect 2,96.0,98.0,8.9,3153.0
Dragon Ball Z: Budokai,67.0,28.0,7.9,71.0
Madden NFL 2002,94.0,23.0,7.9,46.0
The Sims: Vacation,75.0,18.0,7.8,22.0
LEGO Batman: The Videogame (2),74.0,17.0,7.9,22.0
LEGO Batman: The Videogame (3),72.0,16.0,8.0,16.0
Borderlands 2,89.0,59.0,8.2,895.0
Kung Fu Panda,75.0,42.0,7.4,32.0
Mass Effect 3,93.0,74.0,5.8,3733.0
Saints Row 2,81.0,75.0,8.1,310.0
Heavy Rain,87.0,107.0,7.7,2775.0
Tom Clancys Splinter Cell,93.0,46.0,8.5,121.0
FIFA 14 (3),87.0,26.0,6.3,619.0
NBA 2K13,88.0,41.0,7.3,132.0
Killzone 2,91.0,94.0,8.1,1509.0
Far Cry 3 (2),91.0,39.0,8.6,1259.0
Epic Mickey,73.0,78.0,7.0,131.0
Dragon Ball Z: Budokai Tenkaichi 3,73.0,24.0,9.2,176.0
The Sims: Livin Large,82.0,23.0,6.6,20.0
World Soccer Winning Eleven 6 International,93.0,24.0,9.1,65.0
Devil May Cry,94.0,37.0,8.5,467.0
Middle-Earth: Shadow of Mordor,84.0,85.0,8.1,1907.0
Star Wars: The Old Republic,85.0,73.0,5.9,2755.0
Titanfall,86.0,68.0,6.4,2661.0
Sonic Heroes,64.0,29.0,7.8,94.0
Hitman 2: Silent Assassin,85.0,19.0,7.8,78.0
Battlefield: Bad Company 2 (2),88.0,59.0,8.5,573.0
SOCOM II: U.S. Navy SEALs,87.0,42.0,9.0,93.0
Street Fighter IV (2),93.0,77.0,7.3,292.0
Pac-Man Collection,79.0,13.0,7.8,4.0
inFAMOUS,85.0,98.0,8.3,1176.0
Call of Duty: Ghosts (4),78.0,7.0,4.3,702.0
FIFA 15 (3),,,4.2,85.0
Kirby Super Star Ultra,76.0,40.0,8.8,77.0
Mass Effect,91.0,74.0,8.7,1702.0
Sonic Mega Collection Plus,73.0,21.0,8.6,30.0
World Soccer Winning Eleven 7 International,93.0,28.0,9.0,45.0
Sega Superstars Tennis,67.0,45.0,6.8,19.0
Hot Shots Golf 3,85.0,30.0,8.9,16.0
Cooking Mama: Cook Off,61.0,37.0,5.3,23.0
WarioWare: Smooth Moves,83.0,61.0,7.4,180.0
Call of Duty: Finest Hour,76.0,49.0,7.7,70.0
Syphon Filter,90.0,19.0,8.7,84.0
Imagine: Babyz,,,7.7,15.0
Mortal Kombat X,83.0,81.0,7.7,845.0
Madden NFL 13,81.0,36.0,5.8,179.0
The Elder Scrolls III: Morrowind,87.0,34.0,8.7,112.0
Assassins Creed IV: Black Flag (3),83.0,29.0,7.8,1553.0
Mortal Kombat,84.0,60.0,8.4,496.0
Madden NFL 10,85.0,58.0,6.1,90.0
BioShock,96.0,88.0,8.9,2256.0
Metroid Prime,97.0,70.0,9.3,754.0
Assassins Creed: Brotherhood (2),90.0,59.0,8.2,800.0
Finding Nemo,,,7.0,8.0
Medal of Honor,75.0,56.0,7.5,285.0
Imagine: Fashion Designer,,,7.6,7.0
inFAMOUS: Second Son,80.0,90.0,7.9,2954.0
NBA Street,89.0,22.0,8.6,39.0
Jak II,87.0,47.0,8.2,241.0
Killzone 3,84.0,85.0,7.9,945.0
Need for Speed: Hot Pursuit,89.0,59.0,7.2,301.0
Skylanders: Spyros Adventure,81.0,11.0,5.6,31.0
Battlefield 3 (3),89.0,61.0,7.5,4942.0
The Sims,83.0,33.0,7.7,46.0
Star Wars: The Force Unleashed,73.0,74.0,6.7,390.0
Saints Row: The Third,84.0,70.0,7.6,492.0
Yoshis Island DS,81.0,42.0,7.4,67.0
Tekken 6,79.0,63.0,7.4,214.0
Sonic and the Secret Rings,69.0,44.0,6.6,177.0
FIFA 16 (3),,,3.1,59.0
L.A. Noire (2),89.0,83.0,7.8,895.0
The Legend of Zelda: A Link to the Past (2),95.0,30.0,9.1,314.0
Onimusha: Warlords,86.0,23.0,8.2,56.0
Call of Duty 3,82.0,71.0,6.5,233.0
Madden NFL 12,78.0,55.0,5.9,94.0
LEGO Star Wars II: The Original Trilogy,84.0,32.0,9.0,43.0
Killzone: Shadow Fall,73.0,88.0,6.8,2113.0
Madden NFL 11,84.0,47.0,5.7,120.0
Burnout 3: Takedown,93.0,52.0,9.1,272.0
Professor Layton and the Last Specter,83.0,58.0,8.6,53.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,79.0,51.0,7.7,18.0
Call Of Duty 2: Big Red One,77.0,39.0,8.2,70.0
Medal of Honor (2),92.0,17.0,8.6,81.0
Skate 3,80.0,65.0,8.0,128.0
Fable,85.0,87.0,8.5,270.0
Guitar Hero: World Tour (2),85.0,67.0,6.3,172.0
Hannah Montana,,,6.7,10.0
Tom Clancys Splinter Cell (2),89.0,24.0,7.7,103.0
Need for Speed: Shift,84.0,55.0,6.9,114.0
Medal of Honor Heroes,71.0,24.0,7.9,47.0
Final Fantasy XIII-2,79.0,53.0,6.6,713.0
Midnight Club: Street Racing,78.0,18.0,7.8,21.0
Halo Wars,82.0,92.0,7.2,457.0
NBA 2K12,90.0,42.0,7.7,134.0
ESPN NFL 2K5,90.0,37.0,8.2,84.0
FIFA Soccer 10 (2),90.0,63.0,7.5,133.0
Medal of Honor (3),74.0,71.0,6.7,288.0
Harry Potter and the Chamber of Secrets,71.0,16.0,7.5,50.0
God of War Collection,91.0,50.0,8.7,531.0
LEGO Star Wars: The Complete Saga (3),80.0,24.0,7.4,116.0
NBA Live 2005,84.0,21.0,8.1,44.0
FIFA Soccer 09,87.0,42.0,7.5,108.0
Mario Strikers Charged,79.0,47.0,8.0,124.0
Style Savvy,73.0,4.0,7.7,7.0
WWE SmackDown vs. RAW 2007,80.0,27.0,8.6,57.0
Bloodborne,92.0,100.0,8.6,6432.0
Madden NFL 08,78.0,11.0,7.8,17.0
Overwatch,90.0,31.0,6.1,1408.0
Monster Hunter Freedom 2,72.0,38.0,8.7,83.0
Madden NFL 13 (2),83.0,22.0,5.5,101.0
Sonic Adventure 2 Battle,73.0,28.0,8.3,181.0
Dragon Age: Origins,86.0,68.0,7.9,726.0
LittleBigPlanet (2),87.0,68.0,7.8,98.0
Pok\xc3\xa9mon Colosseum,73.0,37.0,8.0,92.0
Madden NFL 09,83.0,50.0,7.0,125.0
Skylanders Giants,78.0,8.0,7.0,20.0
NBA 2K14,87.0,23.0,4.9,150.0
Art Academy,75.0,15.0,8.0,5.0
Crazy Taxi,80.0,15.0,7.8,48.0
Deca Sports,50.0,23.0,5.4,16.0
Marvel: Ultimate Alliance,82.0,68.0,7.5,123.0
Mortal Kombat: Deadly Alliance,79.0,31.0,8.8,96.0
Game Party,25.0,8.0,4.3,26.0
Mario Party 4,70.0,26.0,7.5,76.0
Pure,85.0,55.0,7.7,84.0
Rock Band,92.0,72.0,8.2,178.0
NBA 2K13 (2),90.0,26.0,8.0,100.0
Saints Row: The Third (2),82.0,50.0,7.7,386.0
Resistance 2,87.0,79.0,6.1,1890.0
NBA 2K15,83.0,50.0,6.9,294.0
Midnight Club: Los Angeles,82.0,50.0,8.2,102.0
Final Fantasy Tactics,83.0,12.0,8.2,190.0
LEGO Harry Potter: Years 1-4,79.0,13.0,8.0,34.0
The Sims: Bustin Out,81.0,26.0,8.4,42.0
Madden NFL 16 (2),84.0,23.0,6.1,125.0
Riven: The Sequel to Myst,83.0,12.0,,
uDraw Studio,71.0,9.0,,
Tom Clancys Rainbow Six: Vegas 2,82.0,66.0,7.8,176.0
Need for Speed Carbon: Own the City,73.0,14.0,7.9,39.0
Dragon Ball Z: Budokai 2,66.0,28.0,8.2,92.0
pro evolution soccer 2011,77.0,40.0,6.8,85.0
ATV Offroad Fury,82.0,16.0,8.4,53.0
Need for Speed: ProStreet,62.0,11.0,6.2,34.0
Halo: Combat Evolved Anniversary,82.0,73.0,8.1,488.0
Theme Hospital,,,9.0,92.0
Froggers Adventures: Temple of the Frog,73.0,4.0,,
Madden NFL 11 (2),83.0,36.0,6.1,68.0
NBA 2K17,88.0,47.0,6.6,174.0
Guitar Hero,91.0,65.0,8.7,173.0
The Legend of Zelda: Majoras Mask 3D,89.0,82.0,9.0,483.0
Far Cry: Primal,76.0,91.0,6.3,648.0
Dead Island,71.0,75.0,6.9,632.0
Half-Life 2,96.0,81.0,9.2,8702.0
The Incredibles,62.0,36.0,7.6,22.0
Zumba Fitness (2),42.0,10.0,5.5,16.0
Madden NFL 08 (2),85.0,46.0,6.4,109.0
Tony Hawks Underground 2,83.0,59.0,8.8,55.0
NBA 2K16 (2),86.0,14.0,6.2,117.0
Madden NFL 10 (2),85.0,41.0,6.8,58.0
Midnight Club: Los Angeles (2),81.0,66.0,8.5,142.0
Kinect: Disneyland Adventures,73.0,33.0,2.9,67.0
Guild Wars 2,90.0,69.0,7.9,2958.0
WWE SmackDown vs Raw 2008,71.0,11.0,7.2,31.0
LEGO Indiana Jones: The Original Adventures (2),78.0,22.0,6.6,28.0
Resident Evil - Code: Veronica X,84.0,21.0,8.4,191.0
Kinect Sports: Season Two,66.0,46.0,6.5,39.0
Paper Mario: Sticker Star,75.0,69.0,5.6,385.0
Madden NFL 17,82.0,35.0,4.6,93.0
My Fitness Coach,,,8.6,16.0
James Bond 007: Everything or Nothing,84.0,42.0,9.1,51.0
Need For Speed: High Stakes,86.0,14.0,8.5,28.0
Tom Clancys The Division (2),80.0,33.0,6.9,621.0
Batman: Arkham Origins,76.0,46.0,7.7,671.0
LEGO Star Wars: The Complete Saga (4),80.0,18.0,6.7,87.0
Tomb Raider II (2),,,8.2,39.0
